10,50,100,100,1,5000,5594758,0.0893694,69.1134,100,553514830
10,50,100,100,0,5000,5594758,0.0893694,68.127,100,553517587
10,500,100,100,1,50000,5594758,0.893694,66.6098,100,504846733
10,500,100,100,0,50000,5594758,0.893694,66.5087,100,504480552
10,5000,100,100,1,500000,5594758,8.93694,16.0699,100,147684866
10,5000,100,100,0,500000,5594758,8.93694,15.0816,100,143551509
10,50000,100,100,1,930838,5594758,16.6377,1.77143,18.6168,0
10,50000,100,100,0,930838,5594758,16.6377,1.95685,18.6168,0
10,500000,100,100,1,930838,5594758,16.6377,1.92835,1.86168,0
10,500000,100,100,0,930838,5594758,16.6377,1.92802,1.86168,0
20,50,100,100,1,5000,5594748,0.0893695,50.0414,100,558964739
20,50,100,100,0,5000,5594748,0.0893695,50.4428,100,558944751
20,500,100,100,1,50000,5594748,0.893695,48.5162,100,554267462
20,500,100,100,0,50000,5594748,0.893695,48.6583,100,553865974
20,5000,100,100,1,500000,5594748,8.93695,46.1743,100,504435674
20,5000,100,100,0,500000,5594748,8.93695,45.9299,100,500610567
20,50000,100,100,1,5000000,5594748,89.3695,6.41395,100,29409324
20,50000,100,100,0,4993284,5594748,89.2495,3.81047,99.8657,3929060
20,500000,100,100,1,5391220,5594748,96.3622,3.4231,10.7824,0
20,500000,100,100,0,5391220,5594748,96.3622,3.49245,10.7824,0
50,50,100,100,1,5000,5594718,0.08937,73.8652,100,558964368
50,50,100,100,0,5000,5594718,0.08937,76.5857,100,558935992
50,500,100,100,1,50000,5594718,0.8937,48.7534,100,554354941
50,500,100,100,0,50000,5594718,0.8937,48.8484,100,554000770
50,5000,100,100,1,500000,5594718,8.937,46.4198,100,505068814
50,5000,100,100,0,500000,5594718,8.937,60.811,100,501435900
50,50000,100,100,1,5000000,5594718,89.37,21.3553,100,34021367
50,50000,100,100,0,4995333,5594718,89.2866,6.82169,99.9067,5505883
50,500000,100,100,1,5436444,5594718,97.171,6.06252,10.8729,0
50,500000,100,100,0,5436444,5594718,97.171,6.33008,10.8729,0
100,50,100,100,1,5000,5594668,0.0893708,75.963,100,558960646
100,50,100,100,0,5000,5594668,0.0893708,77.3422,100,558910855
100,500,100,100,1,50000,5594668,0.893708,48.5745,100,554362277
100,500,100,100,0,50000,5594668,0.893708,48.5835,100,553991011
100,5000,100,100,1,500000,5594668,8.93708,46.3093,100,505493838
100,5000,100,100,0,500000,5594668,8.93708,46.4491,100,501663474
100,50000,100,100,1,5000000,5594668,89.3708,7.29427,100,36906513
100,50000,100,100,0,4996542,5594668,89.309,4.19935,99.9308,6783486
100,500000,100,100,1,5464437,5594668,97.6722,3.47059,10.9289,0
100,500000,100,100,0,5464437,5594668,97.6722,3.60415,10.9289,0
200,50,100,100,1,5000,5594568,0.0893724,49.0384,100,558952246
200,50,100,100,0,5000,5594568,0.0893724,50.3739,100,558915524
200,500,100,100,1,50000,5594568,0.893724,57.8142,100,554359296
200,500,100,100,0,50000,5594568,0.893724,52.4862,100,553973530
200,5000,100,100,1,500000,5594568,8.93724,115.506,100,505899667
200,5000,100,100,0,500000,5594568,8.93724,152.249,100,502113491
200,50000,100,100,1,5000000,5594568,89.3724,22.387,100,39077957
200,50000,100,100,0,4997247,5594568,89.3232,14.5813,99.9449,7949666
200,500000,100,100,1,5488692,5594568,98.1075,11.4511,10.9774,0
200,500000,100,100,0,5488692,5594568,98.1075,11.9492,10.9774,0
500,50,100,100,1,5000,5594268,0.0893772,128.756,100,558919076
500,50,100,100,0,5000,5594268,0.0893772,67.5509,100,558896182
500,500,100,100,1,50000,5594268,0.893772,55.2281,100,554334759
500,500,100,100,0,50000,5594268,0.893772,49.6175,100,553973326
500,5000,100,100,1,500000,5594268,8.93772,47.0816,100,506598200
500,5000,100,100,0,500000,5594268,8.93772,47.0046,100,502708223
500,50000,100,100,1,5000000,5594268,89.3772,8.3114,100,42277012
500,50000,100,100,0,4998045,5594268,89.3423,5.06902,99.9609,9931855
500,500000,100,100,1,5520242,5594268,98.6768,3.89206,11.0405,0
500,500000,100,100,0,5520242,5594268,98.6768,3.95737,11.0405,0
1000,50,100,100,1,5000,5593768,0.0893852,49.0543,100,558871004
1000,50,100,100,0,5000,5593768,0.0893852,48.9098,100,558841552
1000,500,100,100,1,50000,5593768,0.893852,49.4826,100,554294262
1000,500,100,100,0,50000,5593768,0.893852,49.4917,100,553915412
1000,5000,100,100,1,500000,5593768,8.93852,47.3506,100,507272718
1000,5000,100,100,0,500000,5593768,8.93852,47.0144,100,503619529
1000,50000,100,100,1,5000000,5593768,89.3852,9.29765,100,44964562
1000,50000,100,100,0,4998657,5593768,89.3612,5.82337,99.9731,11887909
1000,500000,100,100,1,5548243,5593768,99.1861,4.51107,11.0965,0
1000,500000,100,100,0,5548243,5593768,99.1861,4.6183,11.0965,0
